price_in_rp,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,year_built,property_condition,building_orientation,garages,furnishing
4200000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"Keamanan, Taman",rumah,hos10605519,6.0,3.0,210.0,300.0,1.0,shm - sertifikat hak milik,4400.0,0.0,0.0,2.0,,bagus,,1.0,unfurnished
1170000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034," Lapangan Voli,  Taman, CCTV, Lapangan Bola,  Tempat Gym, Lapangan Tenis, Jogging Track, Tempat Jemuran, Jalur Telepon,  Lapangan Bulu Tangkis, Keamanan,  Track Lari,  Masjid, Wastafel,  CCTV,  Kolam Renang,  Jalur Telepon,  Lapangan Basket",rumah,hos11208680,3.0,3.0,75.0,92.0,2.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,selatan,0.0,unfurnished
1760000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034," Lapangan Voli,  Taman, CCTV, Lapangan Bola,  Tempat Gym, Lapangan Tenis, Jogging Track, Tempat Jemuran, Jalur Telepon,  Lapangan Bulu Tangkis, Keamanan,  Track Lari,  Masjid, Wastafel,  CCTV,  Kolam Renang,  Jalur Telepon,  Lapangan Basket",rumah,hos11200625,3.0,3.0,105.0,126.0,2.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,2022.0,baru,selatan,0.0,unfurnished
975000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034," Keamanan, CCTV,  Jogging Track,  Taman, Ac,  Masjid,  Kolam Renang,  Jalur Telepon",rumah,hos10725298,4.0,2.0,72.0,72.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,timur,1.0,unfurnished
1890000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"Jalur Telepon, Keamanan, AC, Ac,  Jalur Telepon",rumah,hos10988359,2.0,2.0,190.0,120.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200.0,0.0,0.0,1.0,2007.0,bagus,barat daya,1.0,unfurnished
845000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034," Taman, Tempat Jemuran, Jalur Telepon, Akses Parkir, Keamanan 24 jam, Track Lari, Tempat Gym",rumah,hos11078259,3.0,2.0,72.0,54.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2021.0,baru,,0.0,
1600000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"Masjid,  Taman, Tempat Jemuran, Lapangan Bulu Tangkis, Kitchen Set, Keamanan 24 jam, Wastafel, Track Lari, Taman,  One Gate System",rumah,hos11112175,6.0,3.0,140.0,180.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2020.0,,selatan,2.0,semi furnished
1800000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"Kulkas,  Kitchen Set, Masjid, Lapangan Bola,  Pemanas Air, Tempat Jemuran, Keamanan 24 jam, Wastafel,  CCTV, Track Lari,  Akses Parkir,  Tempat Laundry,  AC",kost,hos11095211,10.0,10.0,380.0,600.0,0.0,shm - sertifikat hak milik,5500.0,0.0,0.0,2.0,,bagus,,0.0,unfurnished
1120000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"AC, Keamanan 24 jam,  CCTV, Taman,  One Gate System",rumah,hos11293262,3.0,2.0,60.0,74.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,,,,0.0,
2100000000.0,Tangerang Kota, Tangerang,-6.1766875,106.650034,"Tempat Jemuran, Tempat Laundry, Kitchen Set, Wastafel, Taman,  AC",rumah,hos11365000,3.0,3.0,257.0,250.0,2.0,shm - sertifikat hak milik,2200.0,1.0,1.0,2.0,2021.0,baru,,0.0,furnished
